IDADE EM % DE VIDA;A;B;C;D;E;F;G;H
2.00;1.02;1.05;3.51;9.03;18.90;39.30;53.10;75.40
4.00;2.08;2.11;4.55;10.00;19.80;34.60;53.60;75.70
6.00;3.18;3.21;5.62;11.00;20.70;35.30;54.10;76.00
8.00;4.32;4.35;6.73;12.10;21.60;36.10;54.60;76.30
10.00;5.50;5.53;7.88;13.20;22.60;36.90;55.20;76.60
12.00;6.72;6.75;9.07;14.30;23.60;37.70;55.80;76.90
14.00;7.98;8.01;10.30;15.40;24.60;38.50;56.40;77.20
16.00;9.28;9.31;11.60;16.60;25.70;39.40;57.00;77.50
18.00;10.60;10.60;12.90;17.80;26.80;40.30;57.60;77.80
20.00;12.00;12.00;14.20;19.10;27.90;41.80;58.30;78.20
22.00;13.40;13.40;15.60;20.40;29.10;42.20;59.00;78.50
24.00;14.90;14.90;17.00;21.80;30.30;43.10;59.60;78.90
26.00;16.40;16.40;18.50;23.10;31.50;44.10;60.40;79.30
28.00;17.90;17.90;20.00;24.60;32.80;45.20;61.10;79.60
30.00;19.50;19.50;21.50;26.00;34.10;46.20;61.80;80.00
32.00;21.10;21.10;23.10;27.50;35.40;47.30;62.60;80.40
34.00;22.80;22.80;24.70;29.00;36.80;48.40;63.40;80.80
36.00;24.50;24.50;26.40;30.50;38.10;49.50;64.20;81.30
38.00;26.20;26.20;28.10;32.20;39.60;50.70;65.00;81.70
40.00;28.80;28.80;29.90;33.80;41.00;51.90;65.90;82.10
42.00;29.90;29.80;31.60;35.50;42.50;53.10;66.70;82.60
44.00;31.70;31.70;33.40;37.20;44.00;54.40;67.60;83.10
46.00;33.60;33.60;35.20;38.90;45.60;55.60;68.50;83.50
48.00;35.60;35.50;37.10;40.70;47.20;56.90;69.40;84.00
50.00;37.50;37.50;39.10;42.60;48.80;58.20;70.40;84.50
52.00;39.50;39.50;41.90;44.00;50.50;59.60;71.30;85.00
54.00;41.60;41.60;43.00;46.30;52.10;61.00;72.30;85.50
56.00;43.70;43.70;45.10;48.20;53.90;62.40;73.30;86.00
58.00;45.80;45.80;47.20;50.20;55.60;63.80;74.30;86.60
60.00;48.80;48.80;49.30;52.20;57.40;65.30;75.30;87.10
62.00;50.20;50.20;51.50;54.20;59.20;66.70;75.40;87.70
64.00;52.50;52.50;53.70;56.30;61.10;68.30;77.50;88.20
66.00;54.80;54.80;55.90;58.40;69.00;69.80;78.60;88.80
68.00;57.10;57.10;58.20;60.60;64.90;71.40;79.70;89.40
70.00;59.50;59.50;60.50;62.80;66.80;72.90;80.80;90.40
72.00;62.20;62.20;62.90;65.00;68.80;74.60;81.90;90.90
74.00;64.40;64.40;65.30;67.30;70.80;76.20;83.10;91.20
76.00;66.90;66.90;67.70;69.60;72.90;77.90;84.30;91.80
78.00;69.40;69.40;72.20;71.90;74.90;89.60;85.50;92.40
80.00;72.00;72.00;72.70;74.30;77.10;81.30;86.70;93.10
82.00;74.60;74.60;75.30;76.70;79.20;83.00;88.00;93.70
84.00;77.30;77.30;77.80;79.10;81.40;84.50;89.20;94.40
86.00;80.00;80.00;80.50;81.60;83.60;86.60;90.50;95.00
88.00;82.70;82.70;83.20;84.10;85.80;88.50;91.80;95.70
90.00;85.50;85.50;85.90;86.70;88.10;90.30;93.10;96.40
92.00;88.30;88.30;88.60;89.30;90.40;92.20;94.50;97.10
94.00;91.20;91.20;91.40;91.90;92.80;94.10;95.80;97.80
96.00;94.10;94.10;94.20;94.60;95.10;96.00;97.20;98.50
98.00;97.00;97.00;97.10;97.30;97.60;98.00;98.00;99.80
100.00;100.00;100.00;100.0;100.00;100.00;100.0;100.0;100.0